0.9095,0.2866,0.1534,0.1963,0.0733,0.0391,0.0383,0.0637,0.0752,0.0660,0.0198,0.0333,0.0382,0.0372,0.0181,0.0186,0.0339
0.7871,0.4187,0.2788,0.1895,0.1908,0.1102,0.0945,0.0632,0.0475,0.0567,0.0696,0.0681,0.0768,0.0729,0.0614,0.0100,0.0033
0.9555,0.0859,0.0527,0.1006,0.0349,0.0419,0.0976,0.0804,0.1018,0.0544,0.0862,0.0795,0.0487,0.0538,0.0288,0.1199,0.0170
0.9624,0.2108,0.1018,0.0919,0.0709,0.0239,0.0184,0.0160,0.0280,0.0300,0.0039,0.0211,0.0276,0.0157,0.0266,0.0203,0.0090
0.8475,0.3254,0.2620,0.2109,0.0608,0.0615,0.0830,0.0716,0.0518,0.0624,0.0622,0.0724,0.0837,0.0910,0.0705,0.0747,0.0422
0.9655,0.0521,0.1156,0.0931,0.1158,0.0433,0.0904,0.0654,0.0881,0.0116,0.0326,0.0233,0.0246,0.0481,0.0130,0.0427,0.0314
0.9276,0.0823,0.1629,0.1887,0.1028,0.1150,0.0482,0.0788,0.0724,0.0801,0.1161,0.0126,0.0887,0.0399,0.0073,0.0485,0.0350
0.9136,0.2275,0.2138,0.1215,0.0659,0.0631,0.0713,0.1019,0.0663,0.1190,0.0436,0.0606,0.0307,0.0486,0.0322,0.0190,0.0219
0.8374,0.3066,0.1899,0.2114,0.1976,0.0047,0.1266,0.1258,0.0906,0.1224,0.1128,0.0384,0.0619,0.0015,0.0881,0.0637,0.0086
0.7805,0.3969,0.2927,0.1420,0.1307,0.1350,0.1296,0.1115,0.1335,0.1050,0.0996,0.0698,0.0643,0.0445,0.0521,0.0659,0.0776
0.7140,0.3996,0.0469,0.2622,0.2191,0.1408,0.1395,0.0879,0.0974,0.0752,0.1021,0.1137,0.1159,0.1895,0.1851,0.1415,0.1499
0.7722,0.5027,0.1891,0.2012,0.1645,0.0661,0.0129,0.0984,0.1077,0.0315,0.0687,0.0398,0.0553,0.0842,0.0453,0.0266,0.0404
0.9036,0.3269,0.1525,0.1291,0.0951,0.0340,0.0979,0.0994,0.0304,0.0293,0.0157,0.0542,0.0125,0.0336,0.0183,0.0213,0.0087
0.9310,0.2157,0.0964,0.1610,0.0813,0.0723,0.0678,0.1361,0.0469,0.0586,0.0394,0.0355,0.0647,0.0257,0.0434,0.0199,0.0298
0.8272,0.4281,0.1780,0.0703,0.0902,0.1490,0.0915,0.0450,0.0854,0.1277,0.0830,0.0647,0.0889,0.0570,0.0539,0.0297,0.0744
0.9451,0.1040,0.1522,0.0691,0.1086,0.0154,0.0246,0.0638,0.0233,0.0905,0.1126,0.0958,0.0411,0.0549,0.0119,0.0709,0.1039
0.9463,0.1301,0.0567,0.0877,0.0781,0.0659,0.0747,0.0852,0.0697,0.0730,0.0116,0.0219,0.1208,0.0697,0.0646,0.0616,0.1234
0.9634,0.0896,0.0580,0.0389,0.0828,0.0815,0.0601,0.0217,0.0523,0.0718,0.1011,0.0421,0.0558,0.0129,0.0971,0.0649,0.0669
0.9361,0.1656,0.1316,0.1095,0.1068,0.0295,0.0750,0.1133,0.0399,0.0640,0.0355,0.0740,0.0216,0.1126,0.0541,0.0861,0.0184
0.9345,0.0864,0.1218,0.0272,0.1722,0.1142,0.1059,0.0602,0.0682,0.0796,0.0569,0.0459,0.1031,0.0627,0.0680,0.0571,0.0860
0.9431,0.1057,0.1408,0.1165,0.0658,0.0536,0.0428,0.0932,0.0726,0.0958,0.0065,0.0143,0.1043,0.1079,0.0220,0.0599,0.0831
0.9436,0.0614,0.1110,0.0473,0.0612,0.0956,0.1808,0.0364,0.1257,0.0210,0.0372,0.0801,0.0895,0.0676,0.0461,0.0751,0.0022
0.9607,0.1143,0.1509,0.0287,0.0382,0.0673,0.0806,0.0855,0.0563,0.0661,0.0216,0.0268,0.0465,0.0591,0.0643,0.0380,0.0241
0.9191,0.1234,0.1049,0.0543,0.1436,0.0214,0.0327,0.1604,0.0236,0.0400,0.1624,0.1248,0.0484,0.0589,0.1411,0.0788,0.0460
0.8953,0.0973,0.1351,0.0852,0.2598,0.0971,0.1844,0.0277,0.0949,0.0315,0.1034,0.0683,0.1029,0.0821,0.0476,0.0603,0.0564
