timestamp,ax,ay,az,gx,gy,gz
1768312062100,-0.1917724609375,0.73870849609375,0.4384765625,-0.18881797790527344,-1.0358357429504395,-0.32836753129959106
1768312062150,-0.3260498046875,0.76751708984375,0.4794922173023224,-0.5094623565673828,-1.2488884925842285,-0.5254412889480591
1768312062204,-0.3060302734375,0.79241943359375,0.43896484375,-1.0207889080047607,-2.065945625305176,-0.2186453640460968
1768312062258,-0.3016357421875,0.72064208984375,0.5498046875,-2.0402462482452393,-2.912830352783203,-0.2420811653137207
1768312062311,0.0020751953125,0.59710693359375,0.9360350966453552,-2.006157636642456,-3.588207483291626,-0.20160114765167236
1768312062363,-0.0091552734375,0.55169677734375,1.11474609375,-0.659664511680603,-1.8646107912063599,-0.09400951862335205
1768312062415,0.1549072265625,0.45843505859375,0.73193359375,-0.8812393546104431,-2.4803333282470703,-0.056725289672613144
1768312062467,0.1158447265625,0.64398193359375,0.8398436903953552,-0.4775044322013855,-2.8499796390533447,-0.4103928208351135
1768312062518,0.5650634765625,0.26751708984375,1.123046875,-0.8663256764411926,0.08908267319202423,-0.07376950979232788
1768312062568,0.2794189453125,0.51898193359375,0.9653320908546448,0.5398223400115967,2.196174144744873,-1.4596774578094482
1768312062620,-0.1483154296875,0.04925537109375,0.97216796875,2.0482356548309326,0.7708513736724854,-1.1230541467666626
1768312062672,-0.0706787109375,0.60296630859375,0.515625,1.9757977724075317,0.2318280041217804,-0.09400951862335205
1768312062725,-0.2088622897863388,0.28802490234375,1.1826171875,0.4780370593070984,0.146606907248497,-0.0002663159102667123
1768312062776,-0.1810302734375,0.61956787109375,0.705078125,1.3856416940689087,0.5950828790664673,0.06151897460222244
1768312062831,0.0577392578125,0.79388427734375,0.2099609225988388,0.43862229585647583,0.06138581782579422,0.38003280758857727
1768312062884,0.1407470703125,0.69622802734375,0.57421875,-1.049551010131836,-0.11544794589281082,0.33422645926475525
1768312062938,0.0699462890625,0.56683349609375,0.888671875,-0.8364982604980469,-0.11864373832941055,0.1723063886165619
1768312062991,0.2803955078125,0.56732177734375,0.8334960341453552,-0.8119972348213196,-0.32104381918907166,-0.02583264373242855
1768312063042,0.2633056640625,0.57464599609375,1.044921875,-0.39441385865211487,-0.3647196292877197,-0.5946834087371826
1768312063094,0.1300048828125,0.53216552734375,0.75,0.018908429890871048,-0.3743070065975189,-0.8876309394836426
1768312063148,0.0245361328125,0.60540771484375,0.60791015625,-0.7928224802017212,-0.19534271955490112,-1.0431593656539917
1768312063203,-0.0345458984375,0.61761474609375,0.9648438096046448,-1.4362417459487915,-0.5990776419639587,-0.5435507893562317
1768312063254,0.0533447302877903,0.55316162109375,1.0810546875,-0.9121319651603699,-1.3820464611053467,-0.22716747224330902
